iter	RMSE
172	0.6080081332
173	0.6078237767
174	0.6076465603
175	0.6041109838
176	0.6039313481
177	0.6037585891
178	0.6035924206
179	0.598978613
180	0.5983322758
181	0.5977414307
182	0.5975873213
183	0.5974048046
184	0.5968282002
185	0.5966867242
186	0.5960012656
187	0.5945964086
188	0.5944370041
189	0.5896584141
190	0.5895310883
191	0.586822861
192	0.5825332204
193	0.5787776684
194	0.5757958773
195	0.5737467622
196	0.5735920476
197	0.5717070806
198	0.5689874242
199	0.5664254287
200	0.5629703941
201	0.5589529112
202	0.5556026066
203	0.5501385614
204	0.5496000667
205	0.5494830524
206	0.548996428
207	0.5488579752
208	0.5468616787
209	0.5432478685
210	0.5428195712
211	0.5424265819
212	0.540954128
213	0.5383377846
214	0.5382319946
215	0.5348091954
216	0.5347058213
217	0.5305367526
218	0.5278511113
219	0.5277444849
220	0.5262789427
221	0.5261785132
222	0.5243154784
223	0.5242211048
224	0.5226695621
225	0.5196057278
226	0.5186957257
227	0.5165887284
228	0.516494659
229	0.5154989874
230	0.514285213
231	0.5111160642
232	0.5098834326
233	0.5097923398
234	0.506980376
235	0.5053245265
236	0.5021489452
237	0.5004981672
238	0.4987764413
239	0.4986785549
240	0.4985840244
241	0.4969660353
242	0.4968857623
243	0.49454523
244	0.4941229523
245	0.4940363977
246	0.4915201484
247	0.4911295969
248	0.4910616969
249	0.490211928
250	0.4883165489
251	0.4864833028
252	0.4843966921
253	0.4843179861
254	0.4842419956
255	0.4829113888
256	0.4822380023
257	0.4821672981
258	0.4818532005
259	0.4815018451
260	0.4804320871
261	0.4781788997
262	0.4774277299
263	0.4757400685
264	0.4750433143
265	0.4723585602
266	0.4715851652
267	0.4712613038
268	0.4701833642
269	0.4690330041
270	0.4684106928
271	0.4662795382
272	0.4647813043
273	0.4629417582
274	0.4620419876
275	0.461746313
276	0.4601411423
277	0.4598251414
278	0.4592133707
279	0.4591512716
280	0.4583208689
281	0.4569379444
282	0.4558161356
283	0.4543993708
284	0.4535097678
285	0.4530535318
286	0.4527614773
287	0.4526237797
288	0.4508692283
289	0.4507487795
290	0.4500047947
291	0.4486931395
292	0.4473742165
293	0.4460519279
294	0.4449516539
295	0.4446959108
296	0.444576261
297	0.4443271514
298	0.4434521692
299	0.4426221634
300	0.4420458118
301	0.4415214972
302	0.4405711071
303	0.4398645682
304	0.4390133752
305	0.4382097623
306	0.4366282871
307	0.4365764385
308	0.435569294
309	0.4344668245
310	0.4340838067
311	0.433107209
312	0.4322579083
313	0.432205213
314	0.4321546772
315	0.4304023658
316	0.4303530301
317	0.4295909877
318	0.4288988683
319	0.4288442194
320	0.427991819
321	0.4279396074
322	0.4278891879
323	0.4273670525
324	0.4273196534
325	0.4272739046
326	0.4272162168
327	0.4258825333
328	0.424821608
329	0.4247780144
330	0.4247359636
331	0.4234706947
332	0.4228680882
333	0.4224262855
334	0.421787161
335	0.421292396
336	0.4212412294
337	0.4202556916
338	0.420213598
339	0.419901901
340	0.4198646097
341	0.41932493
342	0.4185170782
343	0.4184779801
344	0.4179080248
345	0.4178559672
346	0.4178169614
347	0.4177793085
348	0.4177429588
349	0.4160617446
350	0.4145837057
351	0.4137986611
352	0.412600498
353	0.4123711945
354	0.4123356725
355	0.411369735
356	0.4106730634
357	0.4097181566
358	0.4088449663
359	0.4084981903
360	0.4073358803
361	0.4066321513
362	0.4065951788
363	0.4065636457
364	0.4065292022
365	0.4057956649
366	0.4051800131
367	0.4046196259
368	0.4040334541
369	0.4039972404
370	0.4033104428
371	0.4019795184
372	0.4018924375
373	0.4015784179
374	0.400389627
375	0.3991992033
376	0.3991092704
377	0.3980035591
378	0.3979153367
379	0.3971229612
380	0.3962306076
381	0.3952172461
382	0.3950306061
383	0.3947388785
384	0.3945722083
385	0.3941907231
386	0.3936378548
387	0.3927084332
388	0.3919215146
389	0.391765599
390	0.3915124734
391	0.3909293369
392	0.3900075355
393	0.389379483
394	0.3886124841
395	0.3869812265
396	0.3869457834
397	0.386421478
398	0.3852916872
399	0.3844506329
400	0.3835128076
401	0.383274729
402	0.3824288865
403	0.3819766738
404	0.3819458307
405	0.3819163153
406	0.3811459198
407	0.3807518415
408	0.3804044891
409	0.3799920581
410	0.3791652573
411	0.3779406814
412	0.3772358589
413	0.3765132268
414	0.3755063877
415	0.3746948814
416	0.3742240645
417	0.3737860777
418	0.373192619
419	0.3723294662
420	0.371675882
421	0.3709917769
422	0.370671873
423	0.3704476899
424	0.3697640211
425	0.3693160105
426	0.3688486494
427	0.368644671
428	0.368174529
429	0.3673620485
430	0.3666564878
431	0.3661955343
432	0.3656389073
433	0.3648844557
434	0.3643682488
435	0.3635906782
436	0.363157384
437	0.3625018492
438	0.3610486081
439	0.360922064
440	0.3601683759
441	0.3599682436
442	0.3598455906
443	0.3597864176
444	0.3592250485
445	0.3587460753
446	0.3583592166
447	0.3579849293
448	0.3574663472
449	0.3574045895
450	0.3564375918
451	0.3556401001
452	0.3550802825
453	0.3550166414
454	0.3546778648
455	0.3539307781
456	0.3532865964
457	0.3529663843
458	0.3523871413
459	0.3519322772
460	0.3510683073
461	0.3496599303
462	0.3494942851
463	0.3494464784
464	0.3490384625
465	0.3483431865
466	0.3481024327
467	0.3478602395
468	0.3474905299
469	0.3470004216
470	0.3461380189
471	0.3454965266
472	0.3444859433
473	0.3440144648
474	0.3438164216
475	0.3437590603
476	0.3434488627
477	0.3430996148
478	0.3424661453
479	0.3421128666
480	0.3415369563
481	0.3410224608
482	0.3408317454
483	0.3390755105
484	0.3386812197
485	0.3383851717
486	0.3380602185
487	0.337635171
488	0.3373413848
489	0.3365104435
490	0.336332566
491	0.3361849327
492	0.3360546408
493	0.3357210279
494	0.3355358273
495	0.3350699556
496	0.3350144493
497	0.3345708238
498	0.3335790319
499	0.3332396799
500	0.3327027715
501	0.3326500739
502	0.3321757905
503	0.3321372963
504	0.331847428
505	0.3314147146
506	0.3308338296
507	0.3304373687
508	0.33020086
509	0.3296776038
510	0.3290930965
511	0.3286524183
512	0.3281341532
513	0.3273805591
514	0.3273588377
515	0.3267177375
516	0.3251194685
517	0.3248873066
518	0.3244582616
519	0.3242750345
520	0.3238986659
521	0.323484873
522	0.3223685234
523	0.3217439346
524	0.3217246815
525	0.3215644047
526	0.3211762806
